"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"336",0.9,1000,250,3,0.5,0.998,0.998,0.992,5.08777890836542
"337",0,125,1250,3,0.5,0.896,0.882,0.894,372.387786591494
"338",0.3,125,1250,3,0.5,0.848,0.828,0.822,355.752267925369
"339",0.6,125,1250,3,0.5,0.63,0.622,0.646,354.352560045274
"340",0.9,125,1250,3,0.5,0.426,0.426,0.488,339.559899768445
"341",0,250,1250,3,0.5,0.984,0.984,0.986,402.410633096305
"342",0.3,250,1250,3,0.5,0.982,0.98,0.942,405.945529263858
"343",0.6,250,1250,3,0.5,0.92,0.918,0.794,387.629635492481
"344",0.9,250,1250,3,0.5,0.49,0.492,0.62,380.908293862454
"345",0,500,1250,3,0.5,0.998,0.994,0.998,432.259760351977
"346",0.3,500,1250,3,0.5,1,1,0.994,419.347914265794
"347",0.6,500,1250,3,0.5,0.988,0.988,0.828,409.258612199753
"348",0.9,500,1250,3,0.5,0.602,0.644,0.64,409.465213058964
"349",0,1000,1250,3,0.5,1,0.992,1,414.384783517475
"350",0.3,1000,1250,3,0.5,1,0.996,0.976,410.324946144513
"351",0.6,1000,1250,3,0.5,0.998,0.992,0.852,383.925028520861
"352",0.9,1000,1250,3,0.5,0.924,0.922,0.696,368.822009372884
"353",0,125,5000,3,0.5,0.76,0.752,0.75,1315.16555966529
"354",0.3,125,5000,3,0.5,0.69,0.69,0.69,1259.10892763605
"355",0.6,125,5000,3,0.5,0.46,0.458,0.518,1272.94149616367
"356",0.9,125,5000,3,0.5,0.414,0.414,0.446,1177.03642204191
"357",0,250,5000,3,0.5,0.984,0.982,0.978,1448.99727268736
"358",0.3,250,5000,3,0.5,0.938,0.938,0.894,1443.6747350319
"359",0.6,250,5000,3,0.5,0.78,0.78,0.734,1398.57122224367
"360",0.9,250,5000,3,0.5,0.498,0.498,0.554,1387.01202709797
"361",0,500,5000,3,0.5,0.998,0.996,0.998,1674.86349521112
"362",0.3,500,5000,3,0.5,0.998,0.992,0.946,1634.28935210741
"363",0.6,500,5000,3,0.5,0.94,0.936,0.79,1591.88329445853
"364",0.9,500,5000,3,0.5,0.502,0.502,0.588,1595.07131669238
"365",0,1000,5000,3,0.5,1,1,1,1794.86384346515
"366",0.3,1000,5000,3,0.5,1,0.998,0.958,1762.48592604393
"367",0.6,1000,5000,3,0.5,0.996,0.992,0.828,1688.34994194887
"368",0.9,1000,5000,3,0.5,0.616,0.636,0.684,1768.36301535417
"369",0,125,15000,3,0.5,0.618,0.616,0.632,3508.77454937749
"370",0.3,125,15000,3,0.5,0.554,0.554,0.558,3412.99483287925
"371",0.6,125,15000,3,0.5,0.404,0.404,0.436,3337.01717080273
"372",0.9,125,15000,3,0.5,0.362,0.364,0.378,3183.98162108034
"373",0,250,15000,3,0.5,0.948,0.95,0.946,3975.29455168104
"374",0.3,250,15000,3,0.5,0.912,0.912,0.826,3937.13953847954
"375",0.6,250,15000,3,0.5,0.646,0.646,0.668,3812.35256518492
"376",0.9,250,15000,3,0.5,0.516,0.516,0.554,3638.18686362334
"377",0,500,15000,3,0.5,0.992,0.992,0.994,4585.54540095466
"378",0.3,500,15000,3,0.5,0.978,0.98,0.928,4460.28305164455
"379",0.6,500,15000,3,0.5,0.904,0.902,0.754,4344.80099855155
"380",0.9,500,15000,3,0.5,0.482,0.482,0.582,4348.4779189807
"381",0,1000,15000,3,0.5,1,1,1,5012.25188829856
